GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Griego","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Inglés","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Italiano","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Portugués","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 2 Ruso","Lengua C Nivel 2 (Segunda Lengua Extranjera)","Artes y Humanidades","Formación Básica",es,
"Grado en Traducción e Interpretación","Cultura de la Lengua a Español","Cultura de la Lengua a","Artes y Humanidades","Lengua a y su Cultura",es,
"Grado en Traducción e Interpretación","Documentación Aplicada a la Traducción","Documentación Aplicada a la Traducción","Artes y Humanidades","Contenidos Instrumentales",es,
"Grado en Traducción e Interpretación","Lengua a Nivel 3 Español","Lengua a Nivel 3 Español","Artes y Humanidades","Lengua a y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 3 Alemán","Lengua B Nivel 3","Artes y Humanidades","Lengua B (Primera Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua B  Nivel 3 Árabe","Lengua B Nivel 3","Artes y Humanidades","Lengua B (Primera Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 3 Francés","Lengua B Nivel 3","Artes y Humanidades","Lengua B (Primera Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua B Nivel 3 Inglés","Lengua B Nivel 3","Artes y Humanidades","Lengua B (Primera Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Alemán","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Árabe","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Chino","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Francés","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Griego","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Inglés","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Italiano","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
"Grado en Traducción e Interpretación","Lengua C Nivel 3 Portugués","Lengua C Nivel 3","Artes y Humanidades","Lengua C (Segunda Lengua Extranjera) y su Cultura",es,
