GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Ciencias de la Actividad Física y del Deporte","Fundamentos de los Deportes II: Baloncesto","Fundamentos de los Deportes","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fundamentos de los Deportes II: Gimnasia Rítmica","Fundamentos de los Deportes","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Control y Aprendizaje Motor",Psicología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Sociología del Deporte",Sociología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias de la Actividad Física y del Deporte",Estadística,Estadística,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fundamentos de la Educación Física y Deportiva",Educación,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fisiología Humana",Fisiología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fundamentos de los Deportes IV: Esquí o Vela/Ciclismo","Fundamentos de los Deportes","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Expresión Corporal","Manifestaciones Básicas de la Motricidad","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Juegos Motores","Manifestaciones Básicas de la Motricidad","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fundamentos de los Deportes III: Gimnasia Artística","Fundamentos de los Deportes","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fundamentos de los Deportes III: Fútbol","Fundamentos de los Deportes","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fundamentos de los Deportes III: Judo","Fundamentos de los Deportes","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Actividades Físico-Recreativas en el Medio Natural","Manifestaciones Básicas de la Motricidad","Ciencias Sociales y Jurídicas","Fundamentos y Manifestaciones Básicas de la Motricidad",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Intervención Docente en la Enseñanza de la Activ Física y el Deporte","Enseñanza de la Educación Física y el Deporte","Ciencias Sociales y Jurídicas","Enseñanza de la Educación Física y el Deporte",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Instalaciones y Servicios Deportivos","Gestión y Recreación Deportiva","Ciencias Sociales y Jurídicas","Gestión y Recreación Deportiva",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Entrenamiento Deportivo","Entrenamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Actividad Física y Salud","Actividad Física y Salud","Ciencias Sociales y Jurídicas","Actividad Física y Salud",en,
"Grado en Ciencias de la Actividad Física y del Deporte","Actividad Física y Salud","Actividad Física y Salud","Ciencias Sociales y Jurídicas","Actividad Física y Salud",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Evaluación de la Enseñanza de la Actividad Física y el Deporte","Enseñanza de la Educación Física y el Deporte","Ciencias Sociales y Jurídicas","Enseñanza de la Educación Física y el Deporte",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Planificación y Organización de Sistemas y Actividades Deportivas","Gestión y Recreación Deportiva","Ciencias Sociales y Jurídicas","Gestión y Recreación Deportiva",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Practicas Externas",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,"<p>Los TFG estarán sometidos a los correspondientes derechos de autor, así como de la propiedad intelectual o industrial que dictamine la legislación vigente, tanto de los estudiantes y de los tutores como de las empresas u organismos que pudieran estar involucrados en su elaboración.</p>&#13;&#13;<p>El plagio, entendido como la presentación de un trabajo u obra hecho por otra persona como propio o la copia de textos sin citar su procedencia y dándolos como de elaboración propia, conllevará automáticamente la calificación numérica de cero. Esta consecuencia debe entenderse sin perjuicio de las responsabilidades disciplinarias en las que pudieran incurrir los estudiantes que plagien.</p>&#13;&#13;<p>Las memorias entregadas por parte de los estudiantes tendrán que ir firmadas sobre una <strong>declaración explícita</strong> en la que se <strong>asume la originalidad del trabajo</strong>, entendida en el sentido de que no ha utilizado fuentes sin citarlas debidamente. Adicionalmente el trabajo deberá pasar el filtro de la plataforma antiplagio Turniting facilitado por la UGR mediante PRADO</p>&#13;&#13;<p>La IA NO está permitida para:<br />&#13;<br />&#13;- Generar desde cero la totalidad o parte de una actividad, e incluir el resultado con pocas o ninguna modificación: en resumen, dejarle que piense por nosotros/as. El alumnado es RESPONSABLE de lo que produce y entrega, sea con IA o sin ella. Es su deber asegurarse de que todo lo que realice haya sido verificado y se pueda contrastar con fuentes empíricas.<br />&#13;<br />&#13;Es importante tener en cuenta que:<br />&#13;<br />&#13;- La IA puede proporcionar información falsa o incorrecta. Se deben contrastar siempre los resultados con fuentes de confianza. - La IA puede generar redacciones que siguen literalmente una cierta fuente. Esto constituye plagio, es detectable, y no está permitido.</p>&#13;"
"Grado en Ciencias de la Actividad Física y del Deporte","Evaluación y Control del Entrenamiento Deportivo","Evaluación y Control del Entrenamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Iniciación y Especialización Temprana en el Deporte","Iniciación y Especialización Temprana en el Deporte","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Automatización Aplicada a la Actividad Física y el Deporte","Automatización Aplicada a la Actividad Física y el Deporte","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Biomécanica Deportiva","Biomecánica Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Nutrición en la Actividad Física y Deporte","Nutrición en la Actividad Física y Deporte","Ciencias Sociales y Jurídicas","Actividad Física y Salud",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Actividad Física para Adultos y Mayores","Actividad Física para Adultos y Mayores","Ciencias Sociales y Jurídicas","Actividad Física y Salud",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo:  Atletismo","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Baloncesto","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Ciclismo","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",en,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Ciclismo","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Gimnasia Artística","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Esqui","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Fútbol","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Gimnasia Rítmica","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Natación","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Voleibol","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Judo","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Perfeccionamiento Deportivo: Balonmano","Perfeccionamiento Deportivo","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Atletismo","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Baloncesto","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva:Ciclismo","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Gimnasia Artística","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Esquí","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Fútbol","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Gimnasia Rítmica","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Natación","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Voleibol","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Judo","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Especialización Deportiva: Balonmano","Especialización Deportiva","Ciencias Sociales y Jurídicas","Entrenamiento Deportivo",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fitness: Últimas Tendencias Deportivas","Fitness: Últimas Tendencias Deportivas","Ciencias Sociales y Jurídicas","Actividad Física y Salud",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Fisiología del Ejercicio","Fisiológica del Ejercicio","Ciencias Sociales y Jurídicas","Actividad Física y Salud",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Psicopedagogía de la Motricidad y Necesidades Especiales","Psicopedagogía de la Motricidad y Necesidades Especiales","Ciencias Sociales y Jurídicas","Enseñanza de la Educación Física y el Deporte",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Juegos, Danza y Deportes Tradicionales y Alternativos","Juegos, Danzas y Deportes Tradicionales y Alternativos","Ciencias Sociales y Jurídicas","Enseñanza de la Educación Física y el Deporte",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Intervención Administrativa en el Deporte","Intervención Administrativa en el Deporte","Ciencias Sociales y Jurídicas","Gestión y Recreación Deportiva",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Actividades Recreativas y de Tiempo Libre","Actividades Recreativas y de Tiempo Libre","Ciencias Sociales y Jurídicas","Gestión y Recreación Deportiva",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Diseño de Actividades Deportivo Turísticas","Diseño de Actividades Deportivo Turísticas","Ciencias Sociales y Jurídicas","Gestión y Recreación Deportiva",es,
"Grado en Ciencias de la Actividad Física y del Deporte","Organización de Eventos Deportivos","Organización de Eventos Deportivos","Ciencias Sociales y Jurídicas","Gestión y Recreación Deportiva",es,
"Grado en Ciencias Políticas y de la Administración","Fundamentos de Ciencia Política: Conceptos y Enfoques","Ciencia Política","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Fundamentos de Ciencia de la Administración","Ciencia Política","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Sociología General",Sociología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Teoría del Derecho",Derecho,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Historia Social y Política Contemporánea",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Ordenamiento Constitucional Español",Derecho,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Técnicas de Producción de Datos Socio-Políticos",Sociología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Fundamentos de Ciencia Política: Actores y Procesos","Ciencia Política","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Administraciones Públicas en España","Ciencia Política","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Economía Política",Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Ciencias Políticas y de la Administración","Historia de las Ideas Políticas","Historia de las Ideas Políticas","Ciencias Sociales y Jurídicas","Teorías Políticas",es,
"Grado en Ciencias Políticas y de la Administración","Economía del Sector Público","Economía del Sector Público","Ciencias Sociales y Jurídicas","Instituciones, Gestión y Análisis de Políticas Públicas",es,
"Grado en Ciencias Políticas y de la Administración","Sistema Político Español","Sistema Político Español","Ciencias Sociales y Jurídicas","Actores, Comportamientos y Procesos Políticos",es,
"Grado en Ciencias Políticas y de la Administración","Análisis de Datos Socio-Políticos","Análisis de Datos Socio-Políticos","Ciencias Sociales y Jurídicas","Actores, Comportamientos y Procesos Políticos",es,
"Grado en Ciencias Políticas y de la Administración","Teoría Política: Conceptos y Tradiciones de Pensamiento","Teoría Política: Conceptos y Tradiciones de Pensamiento","Ciencias Sociales y Jurídicas","Teorías Políticas",es,
"Grado en Ciencias Políticas y de la Administración","Régimen Jurídico de la Actividad Administrativa I","Régimen Jurídico de la Actividad Administrativa I","Ciencias Sociales y Jurídicas","Instituciones, Gestión y Análisis de Políticas Públicas",es,
"Grado en Ciencias Políticas y de la Administración","Sistemas Políticos de Europa y Norteamérica","Sistemas Políticos de Europa y Norteamérica","Ciencias Sociales y Jurídicas","Actores, Comportamientos y Procesos Políticos",es,
"Grado en Ciencias Políticas y de la Administración","Relaciones Internacionales","Relaciones Internacionales","Ciencias Sociales y Jurídicas","Política Internacional, Unión Europea y Política Comparada",en,
"Grado en Ciencias Políticas y de la Administración","Relaciones Internacionales","Relaciones Internacionales","Ciencias Sociales y Jurídicas","Política Internacional, Unión Europea y Política Comparada",es,
"Grado en Ciencias Políticas y de la Administración","Corrientes Actuales de la Teoría Política","Corrientes Actuales de la Teoría Política","Ciencias Sociales y Jurídicas","Teorías Políticas",es,
"Grado en Ciencias Políticas y de la Administración","Análisis de Políticas Públicas","Análisis de Políticas Públicas","Ciencias Sociales y Jurídicas","Instituciones, Gestión y Análisis de Políticas Públicas",es,
"Grado en Ciencias Políticas y de la Administración","Sistemas Políticos de Países Emergentes","Sistemas Políticos de Países Emergentes","Ciencias Sociales y Jurídicas","Actores, Comportamientos y Procesos Políticos",es,
"Grado en Ciencias Políticas y de la Administración","Evaluación de Políticas Públicas","Evaluación de Políticas Públicas","Ciencias Sociales y Jurídicas","Instituciones, Gestión y Análisis de Políticas Públicas",es,
"Grado en Ciencias Políticas y de la Administración","Comportamiento Pp., Partidos y Grupos de Presión","Comportamiento Político, Partidos y Grupos de Presión","Ciencias Sociales y Jurídicas","Actores, Comportamientos y Procesos Políticos",es,
"Grado en Ciencias Políticas y de la Administración","Gestión Pública, Planificación Estratégica  y Calidad Administraciones Públicas","Gestión Pública, Planificación Estratégica y Calidad en las Administraciones Públicas","Ciencias Sociales y Jurídicas","Instituciones, Gestión y Análisis de Políticas Públicas",es,
"Grado en Ciencias Políticas y de la Administración","Política Comparada","Política Comparada","Ciencias Sociales y Jurídicas","Política Internacional, Unión Europea y Política Comparada",es,
"Grado en Ciencias Políticas y de la Administración","Proceso Político Español","Proceso Político Español","Ciencias Sociales y Jurídicas","Actores, Comportamientos y Procesos Políticos",es,
"Grado en Ciencias Políticas y de la Administración","Comunicación Política","Comunicación Política","Ciencias Sociales y Jurídicas","Actores, Comportamientos y Procesos Políticos",es,"<p>Todo el software usado en las clases será o software libre o tendrá modalidad libre. En concreto, se usará software basado en R y Python (en este último caso mediante Orange) y software de ofimática como LibreOffice u Onlyoffice.</p>&#13;"
"Grado en Ciencias Políticas y de la Administración","Sistema Político y Jurídico de la Unión Europea","Sistema Político y Jurídico de la Unión Europea","Ciencias Sociales y Jurídicas","Política Internacional, Unión Europea y Política Comparada",es,
"Grado en Ciencias Políticas y de la Administración","Régimen Jurídico de la Actividad Administrativa II","Régimen Jurídico de la Actividad Administrativa II","Ciencias Sociales y Jurídicas","Instituciones, Gestión y Análisis de Políticas Públicas",es,
"Grado en Ciencias Políticas y de la Administración","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en Ciencias Políticas y de la Administración","Uso de las Tecnologías en la Investigación  Socio-Política","Uso de las Tecnologías en la Investigación Socio-Política","Ciencias Sociales y Jurídicas","Técnicas de Apoyo para el Politólogo",es,"<p>Latex</p>&#13;"
"Grado en Ciencias Políticas y de la Administración","Técnicas de Expresión Oral y Escrita para la Elaboración del Discurso","Técnicas de Expresión Oral y Escrita para la Elaboración del Discurso Político","Ciencias Sociales y Jurídicas","Técnicas de Apoyo para el Politólogo",es,
"Grado en Ciencias Políticas y de la Administración","Ideologías Políticas Contemporáneas","Ideologías Políticas Contemporáneas","Ciencias Sociales y Jurídicas","Ideologías Políticas y Teoría de la Democracia",es,"<p>No</p>&#13;"
"Grado en Ciencias Políticas y de la Administración","Pensamiento Político Español","Pensamiento Político Español","Ciencias Sociales y Jurídicas","Ideologías Políticas y Teoría de la Democracia",es,
"Grado en Ciencias Políticas y de la Administración","Teoría de la Democracia: Género e Interculturalidad","Teoría de la Democracia: Género e Interculturalidad","Ciencias Sociales y Jurídicas","Ideologías Políticas y Teoría de la Democracia",en,
"Grado en Ciencias Políticas y de la Administración","Teoría de la Democracia: Género e Interculturalidad","Teoría de la Democracia: Género e Interculturalidad","Ciencias Sociales y Jurídicas","Ideologías Políticas y Teoría de la Democracia",es,
"Grado en Ciencias Políticas y de la Administración","Gobierno y Gestión Local","Gobierno y Gestión Local","Ciencias Sociales y Jurídicas","Gobierno Multinivel",es,
"Grado en Ciencias Políticas y de la Administración","Gobernanza y Relaciones Intergubernamentales","Gobernanza y Relaciones Intergubernamentales","Ciencias Sociales y Jurídicas","Gobierno Multinivel",es,
"Grado en Ciencias Políticas y de la Administración","Política, Gobierno y Admon en Andalucía","Política, Gobierno y Adminstración en Andalucía","Ciencias Sociales y Jurídicas","Gobierno Multinivel",es,
"Grado en Ciencias Políticas y de la Administración","Relaciones Sindicales y Marco Legal del Personal de las Administraciones Públicas","Relaciones Sindicales y Marco Legal del Personal de las Administraciones Públicas","Ciencias Sociales y Jurídicas","Gobierno Multinivel",es,
"Grado en Ciencias Políticas y de la Administración","Análisis y Sistemas Electorales","Análisis y Sistemas Electorales","Ciencias Sociales y Jurídicas",Elecciones,es,
"Grado en Ciencias Políticas y de la Administración","Diseño y Análisis de Campañas Electorales","Diseño y Análisis de Campañas Electorales","Ciencias Sociales y Jurídicas",Elecciones,en,
"Grado en Ciencias Políticas y de la Administración","Diseño y Análisis de Campañas Electorales","Diseño y Análisis de Campañas Electorales","Ciencias Sociales y Jurídicas",Elecciones,es,
"Grado en Ciencias Políticas y de la Administración","Historia Política de España Contemporánea","Historia Política de España Contemporánea","Ciencias Sociales y Jurídicas","Historia y Sociedad Españolas",es,
"Grado en Ciencias Políticas y de la Administración","Estructura Social de España y Andalucía","Estructura Social de España y Andalucía","Ciencias Sociales y Jurídicas","Historia y Sociedad Españolas",es,"<p>Software libre recomendado:</p>&#13;&#13;<ul>&#13;	<li>OpenOffice (Excel)</li>&#13;</ul>&#13;"
"Grado en Ciencias Políticas y de la Administración","Sistemas Políticos del Magreb","Sistemas Políticos del Magreb","Ciencias Sociales y Jurídicas","Magreb y Oriente Próximo",en,
"Grado en Ciencias Políticas y de la Administración","Sistemas Políticos del Magreb","Sistemas Políticos del Magreb","Ciencias Sociales y Jurídicas","Magreb y Oriente Próximo",es,
"Grado en Ciencias Políticas y de la Administración","Sistemas Políticos y Dinámicas Regionales en Oriente Próximo","Sistemas Políticos y Dinámicas Regionales en Oriente Próximo","Ciencias Sociales y Jurídicas","Magreb y Oriente Próximo",es,
"Grado en Ciencias Políticas y de la Administración","Política Exterior de España","Política Exterior de España","Ciencias Sociales y Jurídicas","Estudios de Ámbito Internacional",es,
"Grado en Ciencias Políticas y de la Administración","Organizaciones Internacionales","Organizaciones Internacionales","Ciencias Sociales y Jurídicas","Estudios de Ámbito Internacional",en,
"Grado en Ciencias Políticas y de la Administración","Organizaciones Internacionales","Organizaciones Internacionales","Ciencias Sociales y Jurídicas","Estudios de Ámbito Internacional",es,
"Grado en Ciencias Políticas y de la Administración","Políticas de Seguridad y Defensa","Políticas de Seguridad y Defensa","Ciencias Sociales y Jurídicas","Estudios de Ámbito Internacional",es,
"Grado en Ciencias Políticas y de la Administración","Economía Internacional y de la Unión Europea","Economía Internacional y de la Unión  Europea","Ciencias Sociales y Jurídicas","Estudios de Ámbito Internacional",es,
"Grado en Ciencias Políticas y de la Administración",Prácticas,Prácticas,"Ciencias Sociales y Jurídicas",Prácticas,es,
"Grado en Ciencias Políticas y de la Administración y Sociología","Teoría Sociológica Contemporánea","Teoría Sociológica Contemporánea","Ciencias Sociales y Jurídicas","Materias Obligatorias Sociología",es,
"Grado en Ciencias Políticas y de la Administración y Sociología","Política Comparada","Política Comparada","Ciencias Sociales y Jurídicas","Materias Obligatorias Ciencias Políticas",es,
"Grado en Comunicación Audiovisual","Medios de Comunicación",Comunicación,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Historia del Mundo Actual",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Derecho de la Información y de la Comunicación",Derecho,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Organización y Estructura Política","Ciencia Política","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Comunicación Periodística",Periodismo,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Documentación en Medios de Comunicación",Comunicación,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Redacción y Locución Radiofónica y Televisiva",Lengua,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Gestión de la Comunicación Verbal en los Medios",Lengua,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Psicología Social de la Comunicación",Psicología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Comunicación Publicitaria","Publicidad y Relaciones Públicas","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Comunicación Audiovisual","Teorías de la Comunicación","Teorías de la Comunicación","Ciencias Sociales y Jurídicas","Teorías e Investigación en Comunicación Audiovisual",es,
"Grado en Comunicación Audiovisual","Historia de los Medios Audiovisuales","Historia de los Medios Audiovisuales","Ciencias Sociales y Jurídicas","Historia de la Comunicación Audiovisual",es,
"Grado en Comunicación Audiovisual","Narrativa Audiovisual","Narrativa Audiovisual","Ciencias Sociales y Jurídicas","Guion y Narrativas Audiovisuales",es,
"Grado en Comunicación Audiovisual","Fundamentos de Realización Audiovisual","Fundamentos de Realización Audiovisual","Ciencias Sociales y Jurídicas","Técnicas y Realización Audiovisual",es,
"Grado en Comunicación Audiovisual","Bases Técnicas de los Medios Audiovisuales","Bases Técnicas de los Medios Audiovisuales","Ciencias Sociales y Jurídicas","Plataformas Tecnológicas Audiovisuales",es,"<ul>&#13;	<li>Audacity</li>&#13;	<li>MediaInfo</li>&#13;	<li>exiftool</li>&#13;	<li>RawTherapee</li>&#13;	<li>Shotcut</li>&#13;	<li>VLC</li>&#13;</ul>&#13;"
"Grado en Comunicación Audiovisual","Música y Medios Audiovisuales","Música y Medios Audiovisuales","Ciencias Sociales y Jurídicas","Imagen, Diseño y Cultura Audiovisual",es,
"Grado en Comunicación Audiovisual","Historia del Cine","Historia del Cine","Ciencias Sociales y Jurídicas","Historia de la Comunicación Audiovisual",es,
"Grado en Comunicación Audiovisual","Fotografía y Teoría de la Imagen","Fotografía y Teoría de la Imagen","Ciencias Sociales y Jurídicas","Imagen, Diseño y Cultura Audiovisual",es,
"Grado en Comunicación Audiovisual","Montaje y Posproducción Audiovisual","Montaje y Postproducción Audiovisual","Ciencias Sociales y Jurídicas","Plataformas Tecnológicas Audiovisuales",es,
"Grado en Comunicación Audiovisual","Gestión de Bases de Datos y Archivos Audiovisuales","Gestión de Bases de Datos y Archivos Audiovisuales","Ciencias Sociales y Jurídicas","Plataformas Tecnológicas Audiovisuales",es,
"Grado en Comunicación Audiovisual","Realización y Dirección Audiovisual I","Realización y Dirección Audiovisual I","Ciencias Sociales y Jurídicas","Técnicas y Realización Audiovisual",es,
"Grado en Comunicación Audiovisual","Guion Audiovisual","Guion Audiovisual","Ciencias Sociales y Jurídicas","Guion y Narrativas Audiovisuales",es,
"Grado en Comunicación Audiovisual","Gestión de la Producción Audiovisual","Gestión de la Producción Audiovisual","Ciencias Sociales y Jurídicas","Gestión y Producción Audiovisuales",es,
"Grado en Comunicación Audiovisual","Teoría y Análisis del Discurso Audiovisual","Teoría y Análisis del Discurso Audiovisual","Ciencias Sociales y Jurídicas","Teorías e Investigación en Comunicación Audiovisual",es,
"Grado en Comunicación Audiovisual","Realización y Dirección Audiovisual II","Realización y Dirección Audiovisual II","Ciencias Sociales y Jurídicas","Técnicas y Realización Audiovisual",es,
"Grado en Comunicación Audiovisual","Sistema Mediático","Sistema Mediático","Ciencias Sociales y Jurídicas","Economía, Políticas de la Comunicación Audiovisual y Cambio Social",es,
"Grado en Comunicación Audiovisual","Diseño y Dirección de Producción","Diseño y Dirección de la Producción","Ciencias Sociales y Jurídicas","Gestión y Producción Audiovisuales",es,
"Grado en Comunicación Audiovisual","Metodología de la Investigación en Comunicación y Gestión Documental","Metodología de la Investigación en Comunicación y Gestión Documental","Ciencias Sociales y Jurídicas","Documentación Audiovisual",es,"<p>Para el desarrollo de proyectos de gestión documental, en forma de canales y herramientas de gestión de la información se usará Telegram</p>&#13;"
